,Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
5,            Revenue1,"3,416,065,033",0.05,"43,614,708",0.37,"11,931,622",0.11,"56,825,852",0.14,"26,844,680",0.15,"503,676,113",0.28,"55,340,011",0.35,"43,346,308",0.2,"10,307,049",0.01,"15,059,488",0,"167,483,541",0.22,"78,522,909",0.23,"17,156,084",0,"13,218,586",0.15,"136,175,393",0.16,"58,463,486",0.33,"36,795,579",0.28,"28,125,525",0.37,"39,951,541",0.13,"43,990,865",0.1,"12,512,983",0.28,"64,612,341",0.08,"84,238,815",0.24,"95,113,232",0.24,"66,048,761",0.24,"29,436,598",0.18,"53,926,206",0.29,"9,965,767",0.09,"23,204,450",0.44,"25,296,262",0.47,"12,445,892",0.51,"106,468,656",0.27,"24,177,457",0.05,"337,829,812",0.07,"91,423,378",0.18,"12,335,260",0.38,"121,449,002",0.23,"35,103,140",0.23,"49,207,592",0.17,"131,826,544",0.19,"12,357,380",0.07,"46,795,744",0.14,"7,526,089",0.16,"56,248,062",0.36,"235,372,235",0.23,"27,977,602",0.3,"7,615,232",0.41,"78,617,973",0.15,"82,524,930",0.25,"17,382,828",0.29,"58,953,454",0.2,"11,242,016",0.16
6,General revenue1,"2,920,319,807",0.06,"38,264,379",0.22,"10,810,293",0.11,"47,291,359",0.14,"23,620,786",0.16,"413,985,810",0.32,"46,278,653",0.38,"39,664,307",0.12,"9,156,174",0,"13,141,720",0,"145,071,261",0.19,"66,995,099",0.2,"15,486,679",0,"11,567,538",0.16,"116,740,303",0.17,"52,808,803",0.33,"32,495,226",0.29,"24,772,650",0.42,"34,992,269",0.11,"38,534,517",0.09,"11,598,675",0.3,"59,018,864",0.05,"72,774,225",0.25,"83,604,319",0.26,"56,499,189",0.27,"25,888,468",0.15,"44,676,855",0.24,"8,631,339",0.09,"17,295,057",0.52,"20,771,498",0.58,"10,840,106",0.58,"96,319,232",0.29,"21,547,712",0.05,"285,711,974",0.08,"80,672,729",0.18,"11,054,458",0.43,"99,590,893",0.28,"30,473,063",0.19,"40,192,325",0.19,"113,985,312",0.17,"11,157,475",0.07,"40,150,417",0.14,"6,457,372",0.18,"43,696,347",0.3,"206,358,139",0.25,"22,964,850",0.34,"7,069,378",0.43,"68,965,853",0.17,"66,901,707",0.29,"15,855,713",0.31,"48,109,746",0.23,"9,808,691",0.18
7,Intergovernmental revenue1,"658,011,745",0.05,"10,727,005",0.23,"2,929,265",0.11,"14,180,674",0.07,"7,298,313",0.19,"91,384,564",0.22,"9,038,953",0.27,"7,595,579",0.32,"1,976,633",0,"4,207,653",0,"29,707,431",0.23,"15,047,254",0.25,"3,024,604",0,"2,783,234",0.18,"22,882,007",0.28,"13,244,747",0.11,"6,527,877",0.22,"4,116,074",0.35,"10,895,293",0.1,"10,515,791",0.04,"2,882,066",0.21,"13,231,243",0.02,"15,768,754",0.26,"22,037,803",0.25,"11,680,927",0.26,"8,270,715",0.15,"11,233,812",0.08,"2,662,498",0.06,"3,319,637",0.63,"4,516,652",2.63,"2,141,204",0.09,"18,599,171",0.12,"7,217,530",0.03,"58,210,472",0.05,"20,639,096",0.23,"1,869,844",0.28,"24,781,272",0.18,"7,465,975",0.24,"10,799,926",0.21,"25,665,770",0.17,"2,911,850",0.14,"9,600,110",0.41,"1,636,966",0.19,"11,354,137",0.2,"41,310,297",0.11,"4,710,420",0.27,"2,220,959",0.06,"11,142,434",0.53,"14,526,628",0.26,"4,633,105",0.24,"9,769,697",0.29,"3,117,824",0.23
8,     From Federal Government,"658,011,745",0.05,"10,727,005",0.23,"2,929,265",0.11,"14,180,674",0.07,"7,298,313",0.19,"91,384,564",0.22,"9,038,953",0.27,"7,595,579",0.32,"1,976,633",0,"4,207,653",0,"29,707,431",0.23,"15,047,254",0.25,"3,024,604",0,"2,783,234",0.18,"22,882,007",0.28,"13,244,747",0.11,"6,527,877",0.22,"4,116,074",0.35,"10,895,293",0.1,"10,515,791",0.04,"2,882,066",0.21,"13,231,243",0.02,"15,768,754",0.26,"22,037,803",0.25,"11,680,927",0.26,"8,270,715",0.15,"11,233,812",0.08,"2,662,498",0.06,"3,319,637",0.63,"4,516,652",2.63,"2,141,204",0.09,"18,599,171",0.12,"7,217,530",0.03,"58,210,472",0.05,"20,639,096",0.23,"1,869,844",0.28,"24,781,272",0.18,"7,465,975",0.24,"10,799,926",0.21,"25,665,770",0.17,"2,911,850",0.14,"9,600,110",0.41,"1,636,966",0.19,"11,354,137",0.2,"41,310,297",0.11,"4,710,420",0.27,"2,220,959",0.06,"11,142,434",0.53,"14,526,628",0.26,"4,633,105",0.24,"9,769,697",0.29,"3,117,824",0.23
9,     From State government1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,     From local governments1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,General revenue from own sources,"2,262,308,062",0.07,"27,537,374",0.29,"7,881,028",0.15,"33,110,685",0.2,"16,322,473",0.22,"322,601,246",0.4,"37,239,700",0.46,"32,068,728",0.13,"7,179,541",0,"8,934,067",0,"115,363,830",0.23,"51,947,845",0.24,"12,462,075",0,"8,784,304",0.2,"93,858,296",0.21,"39,564,056",0.44,"25,967,349",0.36,"20,656,576",0.49,"24,096,976",0.15,"28,018,726",0.12,"8,716,609",0.39,"45,787,621",0.07,"57,005,471",0.31,"61,566,516",0.34,"44,818,262",0.33,"17,617,753",0.2,"33,443,043",0.32,"5,968,841",0.14,"13,975,420",0.63,"16,254,846",0.09,"8,698,902",0.73,"77,720,061",0.36,"14,330,182",0.08,"227,501,502",0.1,"60,033,633",0.23,"9,184,614",0.51,"74,809,621",0.36,"23,007,088",0.25,"29,392,399",0.25,"88,319,542",0.21,"8,245,625",0.07,"30,550,307",0.14,"4,820,406",0.23,"32,342,210",0.4,"165,047,842",0.31,"18,254,430",0.43,"4,848,419",0.62,"57,823,419",0.17,"52,375,079",0.37,"11,222,608",0.42,"38,340,049",0.27,"6,690,867",0.23
12,    Taxes,"1,563,701,447",0.08,"15,180,094",0.39,"3,102,853",0.15,"23,335,356",0.23,"11,476,352",0.22,"228,842,938",0.42,"24,641,731",0.61,"26,563,536",0.15,"4,502,556",0,"7,115,081",0,"69,369,670",0.28,"35,872,437",0.29,"8,709,528",0,"5,639,621",0.24,"73,479,954",0.21,"25,226,115",0.31,"14,804,910",0.29,"12,831,756",0.61,"16,626,006",0.17,"18,406,200",0.17,"6,730,305",0.48,"35,100,965",0.08,"43,032,918",0.41,"39,652,327",0.21,"32,665,318",0.19,"10,923,633",0.21,"22,021,237",0.41,"4,175,377",0.15,"9,505,534",0.58,"11,852,611",0.02,"6,213,217",1.01,"59,660,949",0.46,"8,642,216",0.11,"172,384,785",0.12,"38,158,325",0.3,"6,959,163",0.3,"50,788,902",0.26,"14,702,562",0.36,"17,554,485",0.26,"62,646,694",0.22,"5,694,178",0.08,"16,686,751",0.19,"3,269,129",0.23,"21,446,186",0.41,"113,315,727",0.42,"10,979,754",0.21,"3,630,728",0.83,"37,367,164",0.22,"34,198,797",0.37,"7,523,539",0.1,"26,834,807",0.3,"3,656,470",0.19
13,          Property,"484,251,231",0.24,"2,579,687",0.96,"1,476,095",0.13,"7,001,759",0.55,"2,050,389",1.04,"56,964,451",1.61,"7,369,435",1.46,"10,219,905",0.38,"808,922",0.01,"2,251,724",0,"24,496,044",0.68,"11,459,170",0.72,"1,531,270",0,"1,556,739",0.82,"26,497,730",0.54,"6,126,469",1.15,"4,849,083",0.84,"4,190,190",1.8,"3,362,206",0.74,"4,042,910",0.15,"2,676,881",1.19,"9,342,590",0.29,"15,343,269",1.14,"13,596,677",0.61,"8,368,150",0.75,"2,852,173",0.78,"5,881,407",1.19,"1,556,324",0.4,"3,512,964",1.53,"2,773,856",0.09,"4,093,508",1.54,"27,505,043",0.99,"1,605,608",0.35,"52,860,075",0.31,"9,565,377",1.12,"908,388",2.19,"14,292,200",0.64,"2,606,054",0.47,"5,637,382",0.78,"18,417,452",0.53,"2,469,875",0.16,"5,476,778",0.53,"1,164,503",0.62,"5,693,601",1.43,"47,683,753",0.96,"2,898,044",0.63,"1,591,491",1.89,"12,700,823",0.58,"10,099,229",1.01,"1,615,258",0.41,"9,282,567",0.84,"1,345,753",0.49
14,          Sales and gross receipts,"544,358,734",0.07,"7,334,615",0.7,"602,608",0.69,"10,982,473",0.31,"5,698,393",0.25,"70,059,931",0.34,"8,796,836",1.16,"6,554,350",0,"514,463",0,"1,751,874",0,"36,029,165",0.24,"12,669,773",0.47,"4,538,142",0,"1,987,805",0.09,"23,003,596",0.2,"10,838,860",0.03,"4,845,115",0.25,"5,272,719",0.38,"6,130,789",0.11,"9,807,005",0.3,"2,005,707",0.01,"9,308,472",0.02,"8,642,974",0.04,"13,403,003",0.02,"10,325,495",0.04,"4,986,342",0.08,"8,194,521",0.65,"611,280",0.04,"2,773,292",0.18,"7,443,875",0,"973,230",0,"13,136,137",0.06,"4,079,974",0.18,"41,853,603",0.28,"13,774,877",0.29,"2,207,616",0.04,"19,686,989",0.19,"6,287,501",0.81,"1,984,494",0.6,"19,747,291",0.01,"1,647,723",0.03,"5,649,216",0.11,"1,765,209",0.13,"11,909,929",0.27,"57,209,828",0.23,"3,997,788",0.34,"1,047,544",0.12,"9,312,703",0.28,"20,912,397",0.36,"2,718,310",0.03,"8,131,649",0.2,"1,211,253",0.06
