F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,
,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local
,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Description,C1,C2,C6,C7,C11,C12,C16,C17,C21,C22,C26,C27,C31,C32,C36,C37,C41,C42,C46,C47,C51,C52,C56,C57,C61,C62,C66,C67,C71,C72,C76,C77,C81,C82,C86,C87,C91,C92,C96,C97,C101,C102,C106,C107,C111,C112,C116,C117,C121,C122,C126,C127
            Revenue1,"3,408,694,937",0.05,"46,651,306",0.35,"11,497,088",0.11,"59,058,409",0.14,"26,682,770",0.17,"511,974,138",0.25,"55,105,506",0.37,"42,801,774",0.15,"10,284,816",0.01,"14,628,056",0.00,"164,755,203",0.22,"78,329,632",0.22,"17,454,318",0.00,"13,188,505",0.14,"128,361,488",0.18,"60,406,402",0.26,"36,750,610",0.29,"28,166,307",0.47,"40,310,025",0.14,"42,674,534",0.10,"12,567,515",0.37,"65,194,610",0.07,"85,616,442",0.24,"98,854,813",0.19,"63,851,206",0.20,"29,456,966",0.19
General revenue1,"3,018,371,624",0.05,"38,703,898",0.21,"10,649,509",0.12,"50,455,305",0.14,"24,587,262",0.17,"444,254,874",0.26,"48,398,207",0.40,"39,865,450",0.12,"9,678,193",0.00,"13,612,630",0.00,"149,892,554",0.21,"69,861,935",0.19,"16,515,407",0.00,"11,695,270",0.15,"115,501,726",0.18,"55,164,908",0.24,"32,967,426",0.31,"25,454,178",0.51,"36,762,160",0.11,"38,723,324",0.09,"11,923,039",0.38,"60,885,175",0.05,"76,247,163",0.25,"85,797,532",0.20,"58,196,185",0.20,"26,662,384",0.15
Intergovernmental revenue1,"693,988,585",0.04,"10,411,381",0.22,"3,128,884",0.08,"14,900,864",0.09,"7,669,426",0.12,"102,626,183",0.17,"9,615,003",0.27,"8,002,677",0.32,"2,247,296",0.00,"4,483,920",0.00,"29,597,737",0.22,"15,652,489",0.21,"3,318,774",0.00,"2,750,606",0.24,"23,318,709",0.22,"14,731,843",0.13,"6,590,134",0.20,"4,032,336",0.29,"12,101,161",0.09,"11,012,714",0.03,"2,972,240",0.30,"13,139,753",0.02,"17,123,629",0.28,"22,388,750",0.16,"11,942,744",0.36,"8,751,813",0.16
     From Federal Government,"693,988,585",0.04,"10,411,381",0.22,"3,128,884",0.08,"14,900,864",0.09,"7,669,426",0.12,"102,626,183",0.17,"9,615,003",0.27,"8,002,677",0.32,"2,247,296",0.00,"4,483,920",0.00,"29,597,737",0.22,"15,652,489",0.21,"3,318,774",0.00,"2,750,606",0.24,"23,318,709",0.22,"14,731,843",0.13,"6,590,134",0.20,"4,032,336",0.29,"12,101,161",0.09,"11,012,714",0.03,"2,972,240",0.30,"13,139,753",0.02,"17,123,629",0.28,"22,388,750",0.16,"11,942,744",0.36,"8,751,813",0.16
     From State government1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
     From local governments1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
General revenue from own sources,"2,324,383,039",0.07,"28,292,517",0.27,"7,520,625",0.16,"35,554,441",0.20,"16,917,836",0.25,"341,628,691",0.34,"38,783,204",0.49,"31,862,773",0.13,"7,430,897",0.00,"9,128,710",0.00,"120,294,817",0.25,"54,209,446",0.24,"13,196,633",0.00,"8,944,664",0.19,"92,183,017",0.22,"40,433,065",0.33,"26,377,292",0.38,"21,421,842",0.61,"24,660,999",0.15,"27,710,610",0.12,"8,950,799",0.50,"47,745,422",0.07,"59,123,534",0.31,"63,408,782",0.27,"46,253,441",0.24,"17,910,571",0.21
    Taxes,"1,602,017,996",0.08,"16,025,150",0.38,"2,694,790",0.17,"25,023,736",0.22,"11,805,696",0.28,"238,493,453",0.41,"25,712,268",0.63,"26,318,638",0.15,"4,532,432",0.00,"7,418,773",0.00,"72,722,182",0.29,"37,820,219",0.27,"9,239,417",0.00,"5,923,220",0.22,"71,128,899",0.23,"25,648,443",0.32,"15,297,255",0.26,"13,278,912",0.81,"16,974,935",0.18,"18,223,927",0.17,"6,929,697",0.61,"36,626,675",0.08,"44,213,726",0.41,"40,677,328",0.23,"33,676,617",0.19,"10,782,583",0.22
          Property,"504,592,720",0.24,"2,690,722",0.96,"1,517,934",0.13,"7,329,760",0.56,"2,103,819",1.36,"61,266,035",1.52,"7,909,040",1.45,"10,501,407",0.38,"819,763",0.02,"2,418,896",0.00,"26,098,465",0.72,"11,996,286",0.71,"1,629,213",0.00,"1,603,067",0.77,"27,553,763",0.55,"6,306,361",1.20,"4,955,004",0.75,"4,387,045",2.42,"3,458,091",0.75,"4,156,892",0.14,"2,804,075",1.52,"9,319,099",0.32,"16,091,000",1.14,"14,034,722",0.65,"8,660,062",0.73,"2,947,131",0.81
          Sales and gross receipts,"559,624,992",0.07,"7,764,745",0.65,"609,213",0.68,"12,202,334",0.30,"5,922,681",0.27,"70,523,753",0.37,"9,374,783",1.18,"6,518,905",0.00,"555,513",0.00,"1,783,982",0.00,"37,311,046",0.23,"13,269,806",0.44,"4,765,589",0.00,"2,167,275",0.08,"24,128,318",0.20,"10,906,160",0.03,"5,178,020",0.24,"5,689,076",0.35,"6,285,560",0.12,"9,968,570",0.30,"2,084,550",0.01,"9,886,928",0.03,"9,139,496",0.04,"13,607,018",0.02,"10,503,466",0.05,"4,892,734",0.08
               General sales,"377,691,426",0.10,"4,836,747",1.03,"234,574",1.34,"9,872,128",0.36,"4,434,087",0.36,"52,365,154",0.45,"6,821,412",1.60,"3,752,793",0.00,0,0.00,"1,343,192",0.00,"24,644,529",0.07,"9,092,543",0.61,"3,439,477",0.00,"1,562,111",0.10,"14,008,597",0.26,"7,306,331",0.00,"3,480,691",0.34,"4,330,181",0.46,"3,462,704",0.00,"7,468,561",0.40,"1,359,207",0.00,"4,504,242",0.00,"6,089,860",0.00,"9,263,616",0.00,"5,763,175",0.08,"3,297,760",0.00
               Selective sales,"181,933,566",0.09,"2,927,998",0.34,"374,639",0.72,"2,330,206",0.31,"1,488,594",0.23,"18,158,599",0.65,"2,553,371",0.76,"2,766,112",0.00,"555,513",0.00,"440,790",0.00,"12,666,517",0.67,"4,177,263",0.46,"1,326,112",0.00,"605,164",0.13,"10,119,721",0.33,"3,599,829",0.10,"1,697,329",0.21,"1,358,895",0.19,"2,822,856",0.26,"2,500,009",0.13,"725,343",0.04,"5,382,686",0.05,"3,049,636",0.11,"4,343,402",0.05,"4,740,291",0.04,"1,594,974",0.25
                    Motor fuel,"45,177,554",0.02,"660,470",0.53,"48,773",0.00,"898,234",0.00,"479,925",0.00,"5,000,539",0.00,"667,037",0.00,"467,749",0.00,"125,453",0.00,"25,332",0.00,"3,382,354",0.23,"1,655,028",0.00,"171,271",0.00,"337,335",0.00,"1,534,513",0.00,"845,384",0.00,"689,693",0.00,"450,633",0.00,"750,034",0.00,"622,234",0.00,"245,053",0.00,"1,017,769",0.00,"766,553",0.00,"1,017,267",0.00,"901,156",0.00,"451,025",0.00
                    Alcoholic beverage,"7,270,434",0.07,"260,832",0.66,"47,756",0.55,"72,281",0.00,"61,068",0.00,"368,699",0.00,"43,407",0.00,"56,345",0.00,"20,274",0.00,"6,468",0.00,"396,418",0.00,"334,809",1.04,"50,590",0.00,"9,280",0.39,"358,040",0.00,"48,310",0.00,"22,423",0.00,"133,709",0.00,"139,248",0.00,"66,512",0.18,"18,741",0.00,"31,627",0.00,"83,395",0.00,"156,499",0.00,"93,991",0.00,"42,352",0.00
                    Tobacco products,"18,464,750",0.01,"212,026",0.52,"106,275",0.24,"317,331",0.00,"230,527",0.00,"840,034",0.00,"202,999",0.09,"350,723",0.00,"111,762",0.00,"30,451",0.00,"1,223,029",0.00,"219,870",0.00,"124,890",0.00,"50,574",0.00,"1,010,531",0.00,"443,210",0.00,"227,901",0.00,"146,552",0.00,"245,581",0.00,"121,200",0.00,"141,464",0.00,"395,266",0.00,"640,839",0.00,"946,468",0.00,"650,042",0.00,"145,931",0.00
                    Public utilities,"27,514,198",0.47,"765,497",0.94,"12,316",0.03,"219,460",1.42,"151,345",1.97,"3,840,395",2.07,"162,010",3.63,"298,858",0.00,"59,801",0.00,"186,498",0.00,"4,449,077",1.88,"350,560",3.40,"290,444",0.00,"38,427",2.03,"2,611,442",1.06,"279,537",1.06,"242,425",1.42,"231,564",1.06,"378,391",0.50,"183,047",1.74,"28,256",1.03,"590,491",0.16,0,0.00,"88,119",1.41,"116,086",1.36,"66,059",4.60
                    Other selective sales,"83,506,630",0.13,"1,029,173",0.55,"159,519",1.67,"822,900",0.80,"565,729",0.29,"8,108,932",1.08,"1,477,918",1.26,"1,592,437",0.00,"238,223",0.00,"192,041",0.00,"3,215,639",0.40,"1,616,996",0.91,"688,917",0.00,"169,548",0.03,"4,605,195",0.41,"1,983,388",0.09,"514,887",0.22,"396,437",0.20,"1,309,602",0.54,"1,507,016",0.04,"291,829",0.00,"3,347,533",0.08,"1,558,849",0.22,"2,135,049",0.09,"2,979,016",0.03,"889,607",0.30
          Individual income,"375,310,400",0.04,"3,744,038",0.01,0,0.00,"3,968,884",0.00,"2,781,458",0.00,"80,753,345",0.00,"6,485,602",0.00,"7,557,153",0.00,"1,169,922",0.00,"1,907,862",0.00,0,0.00,"10,439,534",0.00,"2,116,130",0.00,"1,521,238",0.00,"12,642,673",0.00,"6,539,103",0.52,"3,656,375",0.00,"2,233,603",0.01,"5,645,256",0.23,"2,866,456",0.00,"1,551,637",0.00,"13,710,859",0.03,"14,430,331",0.00,"9,700,044",0.13,"10,732,570",0.00,"1,800,053",0.00
          Corporate income,"53,580,527",0.03,"473,736",0.00,"67,457",0.00,"570,548",0.00,"450,159",0.00,"9,902,185",0.00,"626,109",0.00,"765,492",0.00,"323,697",0.00,"556,468",0.00,"2,272,230",0.00,"981,002",0.00,"108,169",0.00,"188,996",0.00,"2,742,812",0.00,"1,034,367",0.00,"376,865",0.00,"391,877",0.00,"784,278",0.30,"171,579",0.00,"137,492",0.00,"1,129,008",0.00,"2,333,892",0.00,"1,052,320",0.00,"1,515,697",0.00,"463,111",0.00
