F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129
Description,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local
,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Description,c1,c2,c6,c7,c11,c12,c16,c17,c21,c22,c26,c27,c31,c32,c36,c37,c41,c42,c46,c47,c51,c52,c56,c57,c61,c62,c66,c67,c71,c72,c76,c77,c81,c82,c86,c87,c91,c92,c96,c97,c101,c102,c106,c107,c111,c112,c116,c117,c121,c122,c126,c127
            Revenue1,"52,638,452",0.32,"9,628,358",0.11,"22,686,088",0.45,"26,301,713",0.47,"12,702,773",0.49,"103,801,977",0.28,"23,439,253",0.05,"326,701,288",0.08,"92,593,783",0.24,"9,950,401",0.16,"117,027,357",0.25,"32,751,945",0.27,"47,935,969",0.19,"134,706,521",0.22,"12,297,022",0.07,"46,702,477",0.15,"7,345,444",0.24,"56,600,967",0.39,"247,566,135",0.23,"27,788,917",0.55,"7,809,095",0.40,"79,074,530",0.16,"85,279,112",0.28,"16,985,026",0.12,"53,990,652",0.22,"9,767,243",0.18
General revenue1,"45,820,404",0.30,"8,635,751",0.12,"17,322,074",0.54,"22,166,128",0.56,"11,240,712",0.56,"96,729,909",0.30,"20,798,190",0.05,"292,905,920",0.09,"83,220,188",0.25,"9,080,347",0.17,"103,472,964",0.27,"29,865,733",0.22,"41,674,917",0.21,"119,518,707",0.16,"11,254,970",0.07,"40,840,648",0.15,"6,667,861",0.26,"45,101,054",0.31,"212,311,356",0.26,"24,107,939",0.62,"7,190,125",0.42,"70,756,015",0.18,"71,233,446",0.32,"15,913,176",0.11,"49,372,903",0.22,"8,714,493",0.19
Intergovernmental revenue1,"11,502,771",0.11,"2,823,794",0.07,"3,405,009",0.74,"4,984,200",2.46,"2,337,541",0.05,"18,165,397",0.11,"7,676,684",0.02,"62,244,896",0.04,"21,115,824",0.34,"1,877,388",0.24,"26,070,974",0.19,"7,544,737",0.32,"10,863,703",0.34,"28,866,232",0.12,"2,952,169",0.14,"9,400,715",0.47,"1,596,678",0.24,"12,092,296",0.20,"45,088,391",0.10,"4,722,212",0.04,"2,249,266",0.06,"11,438,948",0.64,"15,003,000",0.27,"4,840,317",0.17,"9,791,585",0.19,"2,822,792",0.24
     From Federal Government,"11,502,771",0.11,"2,823,794",0.07,"3,405,009",0.74,"4,984,200",2.46,"2,337,541",0.05,"18,165,397",0.11,"7,676,684",0.02,"62,244,896",0.04,"21,115,824",0.34,"1,877,388",0.24,"26,070,974",0.19,"7,544,737",0.32,"10,863,703",0.34,"28,866,232",0.12,"2,952,169",0.14,"9,400,715",0.47,"1,596,678",0.24,"12,092,296",0.20,"45,088,391",0.10,"4,722,212",0.04,"2,249,266",0.06,"11,438,948",0.64,"15,003,000",0.27,"4,840,317",0.17,"9,791,585",0.19,"2,822,792",0.24
     From State government1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
     From local governments1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
General revenue from own sources,"34,317,633",0.40,"5,811,957",0.17,"13,917,065",0.65,"17,181,928",0.09,"8,903,171",0.70,"78,564,512",0.37,"13,121,506",0.08,"230,661,024",0.11,"62,104,364",0.31,"7,202,959",0.20,"77,401,990",0.36,"22,320,996",0.27,"30,811,214",0.25,"90,652,475",0.21,"8,302,801",0.08,"31,439,933",0.14,"5,071,183",0.33,"33,008,758",0.42,"167,222,965",0.33,"19,385,727",0.77,"4,940,859",0.61,"59,317,067",0.17,"56,230,446",0.40,"11,072,859",0.15,"39,581,318",0.27,"5,891,701",0.26
    Taxes,"22,516,834",0.36,"3,977,482",0.19,"9,704,233",0.61,"12,583,334",0.02,"6,448,739",0.97,"59,992,011",0.47,"7,878,209",0.11,"177,788,019",0.12,"39,822,081",0.31,"5,015,182",0.23,"51,999,169",0.29,"13,827,169",0.40,"18,282,897",0.26,"64,669,513",0.22,"5,862,102",0.10,"16,933,567",0.19,"3,492,953",0.21,"21,963,292",0.41,"113,466,958",0.46,"11,639,639",0.20,"3,711,771",0.81,"38,366,244",0.22,"36,858,765",0.40,"7,241,918",0.11,"27,620,213",0.30,"3,166,731",0.23
          Property,"5,946,528",0.97,"1,581,394",0.47,"3,641,965",1.57,"2,922,957",0.08,"4,188,402",1.49,"27,839,012",1.02,"1,535,897",0.39,"55,152,270",0.33,"9,906,032",1.17,"979,523",1.12,"14,663,741",0.71,"2,734,177",0.46,"5,921,130",0.75,"18,888,421",0.52,"2,554,186",0.22,"5,767,945",0.53,"1,193,960",0.57,"5,546,728",1.49,"50,417,912",0.98,"3,093,584",0.60,"1,616,527",1.87,"13,001,233",0.61,"10,489,389",1.10,"1,673,932",0.42,"9,397,034",0.85,"1,381,189",0.50
          Sales and gross receipts,"8,540,573",0.65,"571,566",0.05,"2,844,517",0.18,"7,866,358",0.00,"961,329",0.00,"13,368,654",0.06,"3,942,402",0.16,"43,367,128",0.27,"14,406,211",0.28,"1,786,654",0.08,"20,850,283",0.20,"5,969,242",0.89,"1,971,743",0.66,"20,640,488",0.01,"1,694,384",0.03,"5,341,051",0.11,"1,937,434",0.11,"12,381,481",0.28,"56,222,463",0.28,"4,372,295",0.33,"1,054,376",0.12,"9,713,625",0.31,"22,751,850",0.40,"2,777,367",0.03,"8,275,939",0.22,"976,058",0.07
               General sales,"6,136,137",0.79,0,0.00,"2,173,007",0.14,"4,947,528",0.00,0,0.00,"9,267,703",0.00,"2,976,796",0.20,"29,765,587",0.39,"9,975,846",0.37,"1,282,114",0.11,"14,633,903",0.29,"4,509,859",1.17,0,0.00,"11,135,202",0.00,"973,585",0.00,"3,691,109",0.06,"1,443,742",0.14,"9,077,747",0.28,"39,783,632",0.39,"2,830,902",0.41,"384,535",0.32,"5,286,082",0.38,"17,150,929",0.50,"1,310,924",0.02,"5,461,949",0.32,"758,936",0.02
               Selective sales,"2,404,436",1.15,"571,566",0.05,"671,510",0.59,"2,918,830",0.00,"961,329",0.00,"4,100,951",0.18,"965,606",0.10,"13,601,541",0.05,"4,430,365",0.36,"504,540",0.02,"6,216,380",0.06,"1,459,383",0.25,"1,971,743",0.66,"9,505,286",0.03,"720,799",0.08,"1,649,942",0.33,"493,692",0.02,"3,303,734",0.71,"16,438,831",0.22,"1,541,393",0.53,"669,841",0.03,"4,427,543",0.50,"5,600,921",0.55,"1,466,443",0.06,"2,813,990",0.17,"217,122",0.33
