Year,State,Parks and recreation,Insurance trust expenditure,Water supply,Judicial and legal,Correction,Unemployment compensation,Highways,Education,Financial administration,Other insurance trust,Electric power,Housing and community development,Interest on general debt,Libraries,Miscellaneous commercial activities,Solid waste management,Workers' compensation,Public welfare,Natural resources,Other governmental administration,General public buildings,Sewerage,Employee retirement,Health,Protective inspection and regulation,Parking facilities,Air transportation (airports),Utility expenditure,Gas supply,Sea and inland port facilities,Fire protection,Transit,Other and unallocable,Hospitals,Police protection,Employment security administration,Veterans' services,Liquor store expenditure
2019,Vermont,68692,464874,99875,96220,143334,65177,673680,2783893,107029,0,154552,163034,98247,25051,32955,39271,0,1864122,119516,95800,29589,96444,399697,412373,35595,5725,44535,287414,0,0,78206,32987,171546,23357,213891,1700,1083,66631
2019,Rhode Island,82205,1585030,218820,165960,251473,146437,658844,3659182,211723,199703,7347,273256,512262,46870,2215,117234,1043,3284006,88860,266883,98003,189429,1237847,275449,34745,2282,33775,354962,0,2502,314940,128795,538187,55448,498047,42494,0,0
2019,New Mexico,330375,2564000,447623,354768,801110,134199,1033225,6844188,361196,0,168863,182699,575454,35703,5975,220078,199,6325879,332678,272678,215195,189800,2429602,523385,59207,9233,72553,845298,76461,0,323158,152351,977377,1490996,766621,10328,4518,0
2019,Maine,96228,1111024,121927,119621,251380,86252,956556,3835900,355878,0,15389,300917,240488,45601,8797,122456,0,3544841,155224,164769,122964,222533,1024772,303301,53234,6819,61808,196940,50,8074,187803,59574,737496,207236,328205,57250,617,133175
2019,North Carolina,1298129,6620523,1614260,851930,2129973,167623,6578290,29082097,1517439,0,2225068,1727423,2075416,294530,13393,877819,0,15631283,875910,984262,512082,1227424,6452900,4218463,355025,63707,923597,4756579,142774,86550,1156378,774477,1634957,12702324,3400504,119630,23510,741870
2019,Kansas,386230,2087044,764133,341834,524941,134423,1640274,10337062,421125,0,765087,213997,665449,140455,17322,181484,2436,4742801,272099,442799,166464,421220,1950185,722966,83929,5532,89233,1615405,36399,0,387971,49786,1068545,3650595,1026649,31504,11777,0
2019,Louisiana,791015,5204925,534183,610908,979553,127601,2173512,12722230,744987,29282,509653,582266,1225798,188029,56516,330486,58659,12647450,968136,486287,133072,619940,4989383,800554,116172,16164,528967,1346271,85689,394058,685746,216746,1847953,3136093,1619988,120655,7800,0
2019,Ohio,1651022,17857347,1890605,1934074,2353619,817252,5998183,37417850,2197474,0,1213633,2091420,3447908,545778,73343,590701,369563,29660643,517899,1437305,612840,2872581,16670532,3390984,337198,52565,390402,3772478,40230,21696,2153614,628010,3353649,6040859,3931325,117544,34250,1013714
2019,New Jersey,736436,14256041,756565,1626116,2211217,1963782,4654390,42400148,1434196,521753,155956,1382442,3569619,298706,708,933405,221903,19158743,487118,589269,510284,1573096,11548603,2480017,485679,61354,39377,4113018,0,98777,1000046,3200497,10228399,2775646,3704906,190068,13877,0
2019,Nebraska,292132,1270822,363060,196532,555562,63958,1697986,7361042,291161,0,3587008,280970,339591,77215,11499,112553,639,2946570,288993,228224,58477,399328,1206225,324769,76596,14664,103660,4326416,327892,0,276186,48456,942459,853417,557077,41131,3180,0
2019,Mississippi,258889,2953324,382963,293394,517473,61738,1750382,8303014,500387,0,394215,324057,536424,44126,7001,198842,0,6323325,296831,281819,95341,293140,2891586,415127,100864,2724,65663,911913,111369,57707,303333,23366,604094,4135930,782916,36272,33819,307076
2019,Idaho,205669,1281468,135104,237611,449654,86903,1230065,4019033,299309,0,80136,211852,267302,59137,5363,208756,154062,2883295,373146,165193,246007,252585,1040503,350593,76549,802,49709,244464,0,1906,246645,29224,502604,788433,477362,7517,0,143619
2019,Arizona,940530,5066951,1615686,1045426,1842447,209766,2868530,18793098,563233,0,3564978,557161,1168223,204585,11633,497344,0,15917074,507042,670973,209209,765062,4857185,931396,217527,10309,769380,6212129,37748,0,1425257,993717,1508985,751933,2885044,111914,10732,0
2019,Hawaii,306186,1645696,401661,325461,241512,159558,820827,3973774,283715,0,0,327178,380565,36574,396,289784,0,2953650,147594,225040,140301,444408,1486138,633872,73644,3353,747912,1257254,0,109703,268782,855593,2021614,531509,506957,7526,0,0
2019,Washington,1481769,7598210,1762545,1169889,1810019,955732,4787193,28726227,885612,0,5677335,1474298,2934093,522174,91311,804046,1653158,12707009,1320155,660571,136007,2166122,4989320,4571525,569600,20149,1180957,10977569,5813,578947,1525552,3531876,2833790,6870431,2347883,194111,13981,0
2019,Colorado,1696548,6339450,1869700,949887,1406778,381785,3188045,18918596,1201551,3773,1106141,1162838,2478778,276805,102120,127473,379094,9752054,626921,1097989,285817,1339987,5574798,955211,128464,53875,866357,4405223,176938,0,1614812,1252444,2569549,2979924,2117477,42042,6327,0
2019,Utah,664576,1863604,853662,422284,600821,153900,2188969,11332054,638296,0,1042672,487160,599219,125340,36988,218426,14138,4282538,329171,503644,449684,470955,1695566,913477,101586,176,860273,2489114,9367,0,355937,583414,1318965,2863156,902936,10275,4102,304779
2019,Alabama,493863,3813760,965478,436285,824534,145909,2653153,15083283,680317,0,1898372,572028,971457,106095,19579,342836,0,7179904,247371,505482,124383,521297,3667851,950153,172773,16303,168732,3303891,367612,155826,536407,72429,1448208,7036891,1350703,98175,6934,351058
2019,Georgia,1128770,8464945,2095250,1537984,2175217,295567,4378028,30764898,1342949,33734,2559259,1066452,1604211,188963,49272,790236,0,13249267,687207,739867,566489,1275639,8135644,2030669,153450,8954,900470,6362412,805595,507601,1309855,902308,2526334,5658477,2943596,25660,14190,0
2019,Montana,127044,1139907,203517,204111,258574,101302,970634,3137311,224508,0,1416,82129,208411,35461,77136,83902,127304,2303997,325312,185531,64931,160994,911301,408804,41171,6968,51396,248860,0,1426,147729,43926,264501,150296,350823,46290,2394,89874
2019,West Virginia,221463,1704713,284836,268826,396573,153912,1539305,5285756,425125,0,13172,171177,379644,45291,1135,66064,130077,4832947,229894,271545,111495,256671,1420724,265321,79454,7603,69733,355829,227,1407,132364,57593,670852,384621,434084,20273,10771,83004
2019,Missouri,791864,6032581,679510,594028,972461,246218,2583419,16088232,714992,0,1453885,764146,1939434,299354,26088,162173,94316,10004628,340756,614407,185582,1214081,5692047,2467433,118003,20335,364977,2793510,125832,3135,1287016,534282,2383960,4720925,2083211,39388,927,0
