F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129,F133,F134,F138,F139,F143,F144,F148,F149,F153,F154,F158,F159,F163,F164,F168,F169,F173,F174,F178,F179,F183,F184,F188,F189,F193,F194,F198,F199,F203,F204,F208,F209,F213,F214,F218,F219,F223,F224,F228,F229,F233,F234,F238,F239,F243,F244,F248,F249,F253,F254,F258,F259
Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local
,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Description,C1,C2,C6,C7,C11,C12,C16,C17,C21,C22,C26,C27,C31,C32,C36,C37,C41,C42,C46,C47,C51,C52,C56,C57,C61,C62,C66,C67,C71,C72,C76,C77,C81,C82,C86,C87,C91,C92,C96,C97,C101,C102,C106,C107,C111,C112,C116,C117,C121,C122,C126,C127,C131,C132,C136,C137,C141,C142,C146,C147,C151,C152,C156,C157,C161,C162,C166,C167,C171,C172,C176,C177,C181,C182,C186,C187,C191,C192,C196,C197,C201,C202,C206,C207,C211,C212,C216,C217,C221,C222,C226,C227,C231,C232,C236,C237,C241,C242,C246,C247,C251,C252,C256,C257
            Revenue1,"4,073,109,422",0.05,"53,516,481",0.17,"13,912,638",0.10,"71,901,145",0.12,"30,683,340",0.18,"662,194,541",0.17,"63,639,630",0.66,"51,379,896",0.65,"12,503,477",0.16,"16,284,103",0.00,"200,410,475",0.16,"96,920,182",0.13,"20,408,263",0.00,"16,373,391",0.41,"147,523,055",0.33,"71,781,111",0.15,"40,458,134",0.24,"33,320,007",0.31,"46,375,235",0.20,"50,678,451",0.30,"15,670,742",0.91,"75,623,530",0.04,"97,922,637",0.32,"107,986,478",0.28,"78,198,129",0.14,"32,309,888",0.12,"61,582,892",0.43,"11,926,444",0.25,"25,178,281",0.40,"33,910,401",0.04,"14,179,697",0.56,"122,060,405",0.43,"29,782,830",0.21,"384,430,322",0.08,"108,650,515",0.13,"12,365,031",0.29,"130,587,249",0.23,"39,516,103",0.26,"62,585,230",0.18,"157,235,798",0.36,"13,508,607",0.15,"54,324,616",0.22,"8,452,382",0.58,"69,679,636",0.23,"292,924,997",0.36,"34,572,581",0.22,"8,552,680",0.55,"97,498,356",0.14,"107,029,050",0.53,"19,151,322",0.08,"55,887,391",0.22,"9,561,646",0.22
General revenue1,"3,464,410,792",0.05,"44,823,455",0.13,"12,152,668",0.10,"59,114,341",0.14,"27,063,905",0.20,"529,008,818",0.20,"58,444,592",0.71,"45,504,839",0.73,"11,229,189",0.15,"14,211,238",0.00,"172,918,492",0.14,"81,549,358",0.15,"18,531,534",0.00,"13,615,388",0.49,"131,043,985",0.35,"64,961,615",0.15,"34,248,332",0.28,"29,343,593",0.34,"40,443,598",0.18,"45,642,280",0.33,"13,817,674",1.03,"67,712,809",0.04,"85,640,650",0.34,"94,600,804",0.30,"64,738,568",0.16,"27,843,888",0.11,"51,233,566",0.50,"10,246,933",0.26,"19,018,204",0.52,"26,465,310",0.05,"12,106,842",0.66,"109,702,103",0.46,"25,620,289",0.15,"321,507,469",0.10,"93,410,806",0.15,"11,117,752",0.30,"112,610,056",0.26,"34,132,070",0.25,"50,179,753",0.21,"138,149,201",0.28,"11,905,431",0.17,"46,035,645",0.25,"7,195,356",0.68,"51,065,583",0.19,"254,737,112",0.23,"31,496,860",0.22,"7,709,312",0.61,"84,307,839",0.12,"85,385,769",0.66,"17,107,590",0.07,"54,987,037",0.22,"8,771,293",0.23
Intergovernmental revenue1,"762,034,820",0.03,"12,403,701",0.21,"3,929,975",0.08,"17,556,420",0.01,"8,193,548",0.42,"112,709,434",0.11,"10,098,828",0.14,"8,934,112",0.05,"2,583,811",0.00,"3,870,155",0.00,"33,347,992",0.09,"16,983,362",0.14,"3,084,439",0.00,"3,283,521",0.28,"23,797,382",0.13,"15,992,437",0.23,"6,760,748",0.36,"4,580,673",0.04,"12,741,480",0.22,"14,643,744",0.12,"3,258,300",0.01,"14,605,514",0.04,"18,634,397",0.17,"24,045,258",0.12,"12,619,817",0.13,"8,759,624",0.02,"12,540,048",0.03,"3,477,481",0.12,"3,630,624",0.45,"5,740,340",0.00,"2,494,513",0.07,"18,606,327",0.16,"7,746,581",0.15,"73,204,562",0.04,"21,657,936",0.06,"1,978,677",0.40,"26,892,433",0.04,"7,783,800",0.07,"11,848,586",0.42,"34,385,915",0.12,"2,960,985",0.61,"9,759,649",0.04,"1,663,467",0.12,"12,653,518",0.09,"50,908,970",0.09,"5,460,357",0.07,"2,133,128",0.43,"12,899,837",0.10,"15,523,709",0.76,"5,301,333",0.09,"10,943,014",0.17,"2,420,360",0.09
     From Federal Government,"762,034,820",0.03,"12,403,701",0.21,"3,929,975",0.08,"17,556,420",0.01,"8,193,548",0.42,"112,709,434",0.11,"10,098,828",0.14,"8,934,112",0.05,"2,583,811",0.00,"3,870,155",0.00,"33,347,992",0.09,"16,983,362",0.14,"3,084,439",0.00,"3,283,521",0.28,"23,797,382",0.13,"15,992,437",0.23,"6,760,748",0.36,"4,580,673",0.04,"12,741,480",0.22,"14,643,744",0.12,"3,258,300",0.01,"14,605,514",0.04,"18,634,397",0.17,"24,045,258",0.12,"12,619,817",0.13,"8,759,624",0.02,"12,540,048",0.03,"3,477,481",0.12,"3,630,624",0.45,"5,740,340",0.00,"2,494,513",0.07,"18,606,327",0.16,"7,746,581",0.15,"73,204,562",0.04,"21,657,936",0.06,"1,978,677",0.40,"26,892,433",0.04,"7,783,800",0.07,"11,848,586",0.42,"34,385,915",0.12,"2,960,985",0.61,"9,759,649",0.04,"1,663,467",0.12,"12,653,518",0.09,"50,908,970",0.09,"5,460,357",0.07,"2,133,128",0.43,"12,899,837",0.10,"15,523,709",0.76,"5,301,333",0.09,"10,943,014",0.17,"2,420,360",0.09
     From State government1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
