,Description,United States Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
5,            Revenue1,"5,731,179,510","63,621,075","19,274,460","96,255,079","49,214,052","987,628,494","93,706,101","73,407,160","20,239,971","19,595,642","273,981,813","152,071,700","29,960,305","24,693,049","208,378,777","89,520,826","59,009,570","42,543,977","64,140,184","71,741,482","21,671,732","101,680,189","133,275,231","141,149,984","121,302,218","43,545,216","86,904,501","17,363,863","33,052,603","47,164,335","18,241,528","151,618,450","41,040,569","549,845,688","146,292,164","15,012,793","186,962,910","53,184,654","88,361,950","209,709,429","25,711,422","68,842,355","15,364,721","89,214,827","408,424,881","47,013,146","21,849,943","135,480,993","148,243,176","26,944,612","85,839,258","11,886,452"
6,General revenue1,"4,076,400,107","54,522,813","13,831,140","72,869,572","31,835,606","630,739,237","69,274,901","52,678,503","15,022,050","16,851,243","204,950,804","99,567,604","21,848,312","17,888,830","153,148,934","76,987,790","39,121,863","34,163,979","49,827,872","54,086,165","16,658,112","77,615,035","101,959,370","108,377,226","74,288,174","32,068,803","58,688,743","13,116,785","23,402,214","29,781,350","13,762,500","122,518,130","30,669,204","356,444,203","111,838,217","12,175,189","131,646,730","38,796,126","58,058,543","164,422,234","16,170,507","53,025,009","8,211,082","61,957,833","310,103,228","39,269,147","8,995,657","100,596,796","100,010,400","20,271,833","62,439,805","9,844,705"
7,Intergovernmental revenue1,"1,120,200,979","16,998,858","5,592,913","27,432,509","11,186,977","143,666,434","16,366,821","12,902,285","5,327,825","6,310,666","51,844,049","29,074,098","6,159,252","5,376,305","36,546,981","22,989,320","9,167,082","7,127,030","19,280,320","21,390,571","5,055,735","21,588,728","30,010,111","32,352,242","17,663,511","11,281,885","16,248,335","5,524,057","5,998,891","7,749,097","3,821,908","26,019,270","12,599,835","97,176,126","31,391,893","3,991,139","39,353,733","11,002,177","15,449,768","50,401,185","6,599,740","13,417,594","2,307,828","18,683,102","93,357,244","8,771,103","2,786,406","24,701,904","24,457,914","7,283,083","14,981,194","3,433,945"
8,     From Federal Government,"1,120,200,979","16,998,858","5,592,913","27,432,509","11,186,977","143,666,434","16,366,821","12,902,285","5,327,825","6,310,666","51,844,049","29,074,098","6,159,252","5,376,305","36,546,981","22,989,320","9,167,082","7,127,030","19,280,320","21,390,571","5,055,735","21,588,728","30,010,111","32,352,242","17,663,511","11,281,885","16,248,335","5,524,057","5,998,891","7,749,097","3,821,908","26,019,270","12,599,835","97,176,126","31,391,893","3,991,139","39,353,733","11,002,177","15,449,768","50,401,185","6,599,740","13,417,594","2,307,828","18,683,102","93,357,244","8,771,103","2,786,406","24,701,904","24,457,914","7,283,083","14,981,194","3,433,945"
9,     From State government1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,     From local governments1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,General revenue from own sources,"2,956,199,128","37,523,956","8,238,227","45,437,062","20,648,629","487,072,803","52,908,080","39,776,218","9,694,225","10,540,577","153,106,755","70,493,507","15,689,060","12,512,525","116,601,953","53,998,471","29,954,780","27,036,949","30,547,552","32,695,594","11,602,376","56,026,308","71,949,259","76,024,983","56,624,663","20,786,918","42,440,408","7,592,728","17,403,322","22,032,254","9,940,592","96,498,860","18,069,370","259,268,077","80,446,324","8,184,050","92,292,998","27,793,948","42,608,775","114,021,049","9,570,767","39,607,415","5,903,254","43,274,730","216,745,984","30,498,045","6,209,251","75,894,892","75,552,486","12,988,750","47,458,611","6,410,760"
12,    Taxes,"2,103,241,260","21,396,582","3,075,412","33,710,293","14,706,506","360,783,028","37,214,637","34,146,576","6,748,955","8,894,003","95,627,755","49,383,699","11,224,551","8,726,466","93,249,733","36,528,019","18,954,711","17,463,026","21,065,845","22,372,810","9,352,608","44,717,132","56,664,097","49,991,561","42,590,016","13,099,550","28,612,828","5,645,058","12,475,154","16,064,249","7,504,329","76,971,983","10,954,818","205,150,549","51,658,175","5,454,803","62,851,517","17,822,591","27,603,697","81,390,353","7,116,724","22,919,361","4,171,522","29,678,472","143,674,839","18,872,763","4,870,446","53,564,770","51,574,328","8,386,049","33,548,631","3,015,682"
13,          Property,"630,207,794","3,329,023","1,707,204","9,105,708","2,524,045","82,076,484","12,034,572","11,870,805","1,110,532","3,007,722","35,443,117","15,081,641","2,321,006","2,108,600","31,251,650","8,241,583","6,193,386","5,260,176","4,364,207","4,590,963","3,904,106","11,203,432","19,569,400","16,680,773","10,678,549","3,557,321","8,226,703","2,035,976","4,263,899","3,822,680","4,588,816","32,793,053","1,980,250","66,384,750","11,862,825","1,219,863","18,256,164","3,662,013","7,716,196","21,835,969","2,700,714","7,166,475","1,488,436","6,455,899","65,553,293","4,104,422","1,935,556","16,566,844","14,711,643","1,921,893","10,485,666","1,251,792"
14,          Sales and gross receipts,"689,884,799","10,493,911","668,257","15,782,245","7,470,432","84,225,925","12,336,811","8,148,270","605,632","1,591,327","46,625,250","16,830,401","4,687,987","3,255,176","29,204,714","14,032,495","6,269,084","6,195,006","7,847,018","12,265,784","2,637,126","11,428,696","10,714,401","16,166,034","11,808,631","5,774,333","10,074,340","791,972","3,622,593","10,135,259","985,455","17,965,046","5,363,355","46,152,545","19,004,703","1,728,166","24,904,447","7,681,084","3,113,695","25,801,548","2,156,121","7,815,117","2,230,149","17,290,414","68,141,510","6,719,915","1,271,833","14,784,519","31,163,082","3,125,864","9,748,094","1,049,028"
