F2,F3,F4,F8,F9,F13,F14,F18,F19,F23,F24,F28,F29,F33,F34,F38,F39,F43,F44,F48,F49,F53,F54,F58,F59,F63,F64,F68,F69,F73,F74,F78,F79,F83,F84,F88,F89,F93,F94,F98,F99,F103,F104,F108,F109,F113,F114,F118,F119,F123,F124,F128,F129,F133,F134,F138,F139,F143,F144,F148,F149,F153,F154,F158,F159,F163,F164,F168,F169,F173,F174,F178,F179,F183,F184,F188,F189,F193,F194,F198,F199,F203,F204,F208,F209,F213,F214,F218,F219,F223,F224,F228,F229,F233,F234,F238,F239,F243,F244,F248,F249,F253,F254,F258,F259
Description,United States Total,,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,,Connecticut,,Delaware,,District of Columbia,,Florida,,Georgia,,Hawaii,,Idaho,,Illinois,,Indiana,,Iowa,,Kansas,,Kentucky,,Louisiana,,Maine,,Maryland,,Massachusetts,,Michigan,,Minnesota,,Mississippi,,Missouri,,Montana,,Nebraska,,Nevada,,New Hampshire,,New Jersey,,New Mexico,,New York,,North Carolina,,North Dakota,,Ohio,,Oklahoma,,Oregon,,Pennsylvania,,Rhode Island,,South Carolina,,South Dakota,,Tennessee,,Texas,,Utah,,Vermont,,Virginia,,Washington,,West Virginia,,Wisconsin,,Wyoming,
,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local,State & local
,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV,amount1,CV
,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Description,C1,C2,C6,C7,C11,C12,C16,C17,C21,C22,C26,C27,C31,C32,C36,C37,C41,C42,C46,C47,C51,C52,C56,C57,C61,C62,C66,C67,C71,C72,C76,C77,C81,C82,C86,C87,C91,C92,C96,C97,C101,C102,C106,C107,C111,C112,C116,C117,C121,C122,C126,C127,C131,C132,C136,C137,C141,C142,C146,C147,C151,C152,C156,C157,C161,C162,C166,C167,C171,C172,C176,C177,C181,C182,C186,C187,C191,C192,C196,C197,C201,C202,C206,C207,C211,C212,C216,C217,C221,C222,C226,C227,C231,C232,C236,C237,C241,C242,C246,C247,C251,C252,C256,C257
            Revenue1,"5,731,179,510",0.04,"63,621,075",0.17,"19,274,460",0.09,"96,255,079",0.12,"49,214,052",0.13,"987,628,494",0.13,"93,706,101",0.59,"73,407,160",0.48,"20,239,971",0.30,"19,595,642",0.00,"273,981,813",0.16,"152,071,700",0.13,"29,960,305",0.00,"24,693,049",0.28,"208,378,777",0.26,"89,520,826",0.14,"59,009,570",0.19,"42,543,977",0.24,"64,140,184",0.19,"71,741,482",0.33,"21,671,732",0.75,"101,680,189",0.03,"133,275,231",0.26,"141,149,984",0.20,"121,302,218",0.10,"43,545,216",0.10,"86,904,501",0.60,"17,363,863",0.16,"33,052,603",0.29,"47,164,335",0.04,"18,241,528",0.50,"151,618,450",0.33,"41,040,569",0.17,"549,845,688",0.08,"146,292,164",0.13,"15,012,793",0.36,"186,962,910",0.16,"53,184,654",0.36,"88,361,950",0.17,"209,709,429",0.22,"25,711,422",0.11,"68,842,355",0.20,"15,364,721",0.19,"89,214,827",0.33,"408,424,881",0.29,"47,013,146",0.22,"21,849,943",0.22,"135,480,993",0.17,"148,243,176",0.50,"26,944,612",0.11,"85,839,258",0.14,"11,886,452",0.18
General revenue1,"4,076,400,107",0.05,"54,522,813",0.18,"13,831,140",0.10,"72,869,572",0.14,"31,835,606",0.20,"630,739,237",0.19,"69,274,901",0.79,"52,678,503",0.67,"15,022,050",0.23,"16,851,243",0.00,"204,950,804",0.13,"99,567,604",0.18,"21,848,312",0.00,"17,888,830",0.39,"153,148,934",0.33,"76,987,790",0.13,"39,121,863",0.28,"34,163,979",0.29,"49,827,872",0.14,"54,086,165",0.43,"16,658,112",0.97,"77,615,035",0.04,"101,959,370",0.31,"108,377,226",0.23,"74,288,174",0.16,"32,068,803",0.10,"58,688,743",0.55,"13,116,785",0.19,"23,402,214",0.41,"29,781,350",0.06,"13,762,500",0.66,"122,518,130",0.38,"30,669,204",0.16,"356,444,203",0.13,"111,838,217",0.17,"12,175,189",0.44,"131,646,730",0.22,"38,796,126",0.48,"58,058,543",0.25,"164,422,234",0.25,"16,170,507",0.17,"53,025,009",0.25,"8,211,082",0.35,"61,957,833",0.28,"310,103,228",0.21,"39,269,147",0.26,"8,995,657",0.54,"100,596,796",0.12,"100,010,400",0.73,"20,271,833",0.09,"62,439,805",0.19,"9,844,705",0.19
Intergovernmental revenue1,"1,120,200,979",0.04,"16,998,858",0.15,"5,592,913",0.10,"27,432,509",0.02,"11,186,977",0.20,"143,666,434",0.19,"16,366,821",0.60,"12,902,285",0.07,"5,327,825",0.00,"6,310,666",0.00,"51,844,049",0.11,"29,074,098",0.14,"6,159,252",0.00,"5,376,305",0.16,"36,546,981",0.17,"22,989,320",0.22,"9,167,082",0.19,"7,127,030",0.26,"19,280,320",0.09,"21,390,571",0.07,"5,055,735",0.03,"21,588,728",0.02,"30,010,111",0.24,"32,352,242",0.21,"17,663,511",0.26,"11,281,885",0.05,"16,248,335",0.05,"5,524,057",0.17,"5,998,891",0.39,"7,749,097",0.01,"3,821,908",0.06,"26,019,270",0.13,"12,599,835",0.25,"97,176,126",0.04,"31,391,893",0.05,"3,991,139",0.28,"39,353,733",0.09,"11,002,177",0.55,"15,449,768",0.63,"50,401,185",0.13,"6,599,740",0.34,"13,417,594",0.03,"2,307,828",0.48,"18,683,102",0.09,"93,357,244",0.07,"8,771,103",0.67,"2,786,406",0.05,"24,701,904",0.14,"24,457,914",0.65,"7,283,083",0.17,"14,981,194",0.06,"3,433,945",0.36
     From Federal Government,"1,120,200,979",0.04,"16,998,858",0.15,"5,592,913",0.10,"27,432,509",0.02,"11,186,977",0.20,"143,666,434",0.19,"16,366,821",0.60,"12,902,285",0.07,"5,327,825",0.00,"6,310,666",0.00,"51,844,049",0.11,"29,074,098",0.14,"6,159,252",0.00,"5,376,305",0.16,"36,546,981",0.17,"22,989,320",0.22,"9,167,082",0.19,"7,127,030",0.26,"19,280,320",0.09,"21,390,571",0.07,"5,055,735",0.03,"21,588,728",0.02,"30,010,111",0.24,"32,352,242",0.21,"17,663,511",0.26,"11,281,885",0.05,"16,248,335",0.05,"5,524,057",0.17,"5,998,891",0.39,"7,749,097",0.01,"3,821,908",0.06,"26,019,270",0.13,"12,599,835",0.25,"97,176,126",0.04,"31,391,893",0.05,"3,991,139",0.28,"39,353,733",0.09,"11,002,177",0.55,"15,449,768",0.63,"50,401,185",0.13,"6,599,740",0.34,"13,417,594",0.03,"2,307,828",0.48,"18,683,102",0.09,"93,357,244",0.07,"8,771,103",0.67,"2,786,406",0.05,"24,701,904",0.14,"24,457,914",0.65,"7,283,083",0.17,"14,981,194",0.06,"3,433,945",0.36
     From State government1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
